Date,Time,Dissolved_Oxygen_Concentration,Temp
07-10-22,5:30:00,-0.01,25.6
07-10-22,5:40:00,0,25.58
07-10-22,5:50:00,0.04,25.58
07-10-22,6:00:00,0.05,25.58
07-10-22,6:10:00,0.01,25.56
07-10-22,6:20:00,0.01,25.54
07-10-22,6:30:00,0.14,25.54
07-10-22,6:40:00,0.64,25.52
07-10-22,6:50:00,0.15,25.52
07-10-22,7:00:00,0.14,25.52
07-10-22,7:10:00,0.13,25.52
07-10-22,7:20:00,0.11,25.52
07-10-22,7:30:00,0.18,25.52
07-10-22,7:40:00,0.11,25.5
07-10-22,7:50:00,0.05,25.5
07-10-22,8:00:00,0.04,25.52
07-10-22,8:10:00,0.01,25.54
07-10-22,8:20:00,0.08,25.56
07-10-22,8:30:00,0.1,25.58
07-10-22,8:40:00,0.11,25.6
07-10-22,8:50:00,0.25,25.62
07-10-22,9:00:00,0.19,25.66
07-10-22,9:10:00,0.24,25.72
07-10-22,9:20:00,0.16,25.72
07-10-22,9:30:00,0.09,25.76
07-10-22,9:40:00,-0.01,25.78
07-10-22,9:50:00,-0.03,25.78
07-10-22,10:00:00,0.03,25.8
07-10-22,10:10:00,0.21,25.9
07-10-22,10:20:00,0.48,25.94
07-10-22,10:30:00,0.58,26
07-10-22,10:40:00,0.37,26.06
07-10-22,10:50:00,0.88,26.1
07-10-22,11:00:00,0.83,26.16
07-10-22,11:10:00,0.79,26.22
07-10-22,11:20:00,0.66,26.26
07-10-22,11:30:00,0.93,26.3
07-10-22,11:40:00,0.96,26.32
07-10-22,11:50:00,0.8,26.32
07-10-22,12:00:00,0.7,26.32
07-10-22,12:10:00,0.55,26.32
07-10-22,12:20:00,0.86,26.34
07-10-22,12:30:00,0.75,26.38
07-10-22,12:40:00,0.96,26.4
07-10-22,12:50:00,1.36,26.46
07-10-22,13:00:00,1.04,26.44
07-10-22,13:10:00,1.47,26.44
07-10-22,13:20:00,1.32,26.46
07-10-22,13:30:00,1.15,26.52
07-10-22,13:40:00,1.59,26.54
07-10-22,13:50:00,1.93,26.56
07-10-22,14:00:00,1.54,26.58
07-10-22,14:10:00,1.9,26.6
07-10-22,14:20:00,1.76,26.64
07-10-22,14:30:00,1.35,26.58
07-10-22,14:40:00,1.63,26.56
07-10-22,14:50:00,1.55,26.56
07-10-22,15:00:00,1.48,26.56
07-10-22,15:10:00,1.44,26.56
07-10-22,15:20:00,1.69,26.58
07-10-22,15:30:00,1.63,26.6
07-10-22,15:40:00,1.51,26.58
07-10-22,15:50:00,1.42,26.6
07-10-22,16:00:00,1.47,26.6
07-10-22,16:10:00,1.48,26.62
07-10-22,16:20:00,1.44,26.62
07-10-22,16:30:00,1.56,26.64
07-10-22,16:40:00,1.55,26.64
07-10-22,16:50:00,1.42,26.66
07-10-22,17:00:00,1.27,26.66
07-10-22,17:10:00,1.45,26.64
07-10-22,17:20:00,1.49,26.66
07-10-22,17:30:00,1.64,26.66
07-10-22,17:40:00,1.6,26.66
07-10-22,17:50:00,1.13,26.66
07-10-22,18:00:00,1.22,26.66
07-10-22,18:10:00,1.34,26.64
07-10-22,18:20:00,1.07,26.64
07-10-22,18:30:00,0.81,26.62
07-10-22,18:40:00,0.32,26.62
07-10-22,18:50:00,0.46,26.6
07-10-22,19:00:00,0.71,26.58
07-10-22,19:10:00,0.33,26.58
07-10-22,19:20:00,0.45,26.56
07-10-22,19:30:00,0.4,26.56
07-10-22,19:40:00,0.9,26.54
07-10-22,19:50:00,0.66,26.52
07-10-22,20:00:00,0.6,26.5
07-10-22,20:10:00,0.3,26.5
07-10-22,20:20:00,0.35,26.48
07-10-22,20:30:00,0.43,26.46
07-10-22,20:40:00,0.44,26.46
07-10-22,20:50:00,0.47,26.44
07-10-22,21:00:00,0.48,26.42
07-10-22,21:10:00,0.64,26.4
07-10-22,21:20:00,0.3,26.38
07-10-22,21:30:00,0.23,26.36
07-10-22,21:40:00,0.21,26.36
07-10-22,21:50:00,0.43,26.34
07-10-22,22:00:00,0.44,26.32
07-10-22,22:10:00,0.35,26.32
07-10-22,22:20:00,0.26,26.3
07-10-22,22:30:00,0.34,26.28
07-10-22,22:40:00,0.21,26.26
07-10-22,22:50:00,0.68,26.24
07-10-22,23:00:00,0.29,26.22
07-10-22,23:10:00,0.29,26.2
07-10-22,23:20:00,0.27,26.2
07-10-22,23:30:00,0.12,26.18
07-10-22,23:40:00,0.49,26.16
07-10-22,23:50:00,0.31,26.14
08-10-22,0:00:00,0.33,26.14
08-10-22,0:10:00,0.42,26.12
08-10-22,0:20:00,0.11,26.12
08-10-22,0:30:00,0.13,26.1
08-10-22,0:40:00,0.3,26.08
08-10-22,0:50:00,0.14,26.08
08-10-22,1:00:00,0.32,26.06
08-10-22,1:10:00,0.24,26.04
08-10-22,1:20:00,0.19,26.02
08-10-22,1:30:00,0.12,26.02
08-10-22,1:40:00,0.12,26
08-10-22,1:50:00,0.2,25.98
08-10-22,2:00:00,0.16,25.98
08-10-22,2:10:00,0.08,25.96
08-10-22,2:20:00,0.1,25.94
08-10-22,2:30:00,0.09,25.92
08-10-22,2:40:00,0.05,25.9
08-10-22,2:50:00,0.09,25.88
08-10-22,3:00:00,0.02,25.88
08-10-22,3:10:00,0.04,25.86
08-10-22,3:20:00,0.08,25.84
08-10-22,3:30:00,0.12,25.82
08-10-22,3:40:00,0.04,25.8
08-10-22,3:50:00,0.07,25.78
08-10-22,4:00:00,0.09,25.76
08-10-22,4:10:00,0.01,25.76
08-10-22,4:20:00,0.05,25.74
08-10-22,4:30:00,0.02,25.72
08-10-22,4:40:00,0.05,25.72
08-10-22,4:50:00,0.08,25.7
08-10-22,5:00:00,0.09,25.68
08-10-22,5:10:00,0.1,25.68
08-10-22,5:20:00,0.05,25.66
08-10-22,5:30:00,0.08,25.64
08-10-22,5:40:00,0.08,25.64
08-10-22,5:50:00,0.08,25.62
08-10-22,6:00:00,0.07,25.6
08-10-22,6:10:00,0.08,25.6
08-10-22,6:20:00,0.07,25.58
08-10-22,6:30:00,0.07,25.58
08-10-22,6:40:00,0.03,25.56
08-10-22,6:50:00,0,25.54
08-10-22,7:00:00,0,25.54
08-10-22,7:10:00,-0.02,25.54
08-10-22,7:20:00,0,25.52
08-10-22,7:30:00,-0.03,25.5
08-10-22,7:40:00,-0.02,25.5
08-10-22,7:50:00,0,25.5
08-10-22,8:00:00,0.04,25.52
08-10-22,8:10:00,-0.01,25.52
08-10-22,8:20:00,0.03,25.54
08-10-22,8:30:00,-0.01,25.56
08-10-22,8:40:00,0.04,25.58
08-10-22,8:50:00,0.11,25.6
08-10-22,9:00:00,0.11,25.64
08-10-22,9:10:00,0.27,25.7
08-10-22,9:20:00,0.16,25.76
08-10-22,9:30:00,0.46,25.8
08-10-22,9:40:00,0.57,25.88
08-10-22,9:50:00,0.37,25.98
08-10-22,10:00:00,0.53,26.06
08-10-22,10:10:00,0.31,26.12
08-10-22,10:20:00,0.45,26.18
08-10-22,10:30:00,0.48,26.24
08-10-22,10:40:00,0.59,26.28
08-10-22,10:50:00,0.73,26.34
08-10-22,11:00:00,0.81,26.38
08-10-22,11:10:00,0.94,26.44
08-10-22,11:20:00,0.89,26.48
08-10-22,11:30:00,0.91,26.5
08-10-22,11:40:00,0.88,26.52
08-10-22,11:50:00,0.73,26.52
08-10-22,12:00:00,0.68,26.52
08-10-22,12:10:00,0.55,26.54
08-10-22,12:20:00,0.65,26.56
08-10-22,12:30:00,0.7,26.58
08-10-22,12:40:00,1.49,26.66
08-10-22,12:50:00,1.07,26.68
08-10-22,13:00:00,0.85,26.66
08-10-22,13:10:00,1.15,26.68
08-10-22,13:20:00,0.89,26.72
08-10-22,13:30:00,1.15,26.8
08-10-22,13:40:00,1.19,26.84
08-10-22,13:50:00,1.98,26.82
08-10-22,14:00:00,1.83,26.82
08-10-22,14:10:00,1.93,26.86
08-10-22,14:20:00,1.76,26.9
08-10-22,14:30:00,1.65,26.84
08-10-22,14:40:00,1.77,26.82
08-10-22,14:50:00,1.36,26.82
08-10-22,15:00:00,1.34,26.84
08-10-22,15:10:00,1.23,26.88
08-10-22,15:20:00,1.56,26.86
08-10-22,15:30:00,1.31,26.84
08-10-22,15:40:00,1.23,26.84
08-10-22,15:50:00,1.32,26.84
08-10-22,16:00:00,1.57,26.84
08-10-22,16:10:00,1.38,26.86
08-10-22,16:20:00,1.27,26.82
08-10-22,16:30:00,1.36,26.8
08-10-22,16:40:00,1.25,26.8
08-10-22,16:50:00,1.63,26.8
08-10-22,17:00:00,2.12,26.78
08-10-22,17:10:00,1.86,26.78
08-10-22,17:20:00,1.7,26.76
08-10-22,17:30:00,1.52,26.76
08-10-22,17:40:00,1.48,26.74
08-10-22,17:50:00,1.56,26.72
08-10-22,18:00:00,1.26,26.72
08-10-22,18:10:00,1.37,26.72
08-10-22,18:20:00,1.1,26.7
08-10-22,18:30:00,1.26,26.7
08-10-22,18:40:00,1.36,26.68
08-10-22,18:50:00,1.22,26.68
08-10-22,19:00:00,1.42,26.66
08-10-22,19:10:00,1.59,26.64
08-10-22,19:20:00,1.48,26.62
08-10-22,19:30:00,1.36,26.6
08-10-22,19:40:00,1.47,26.6
08-10-22,19:50:00,1.54,26.58
08-10-22,20:00:00,1.15,26.56
08-10-22,20:10:00,1.41,26.56
08-10-22,20:20:00,1.02,26.54
08-10-22,20:30:00,1.29,26.52
08-10-22,20:40:00,1.45,26.5
08-10-22,20:50:00,1.15,26.5
08-10-22,21:00:00,1.4,26.48
08-10-22,21:10:00,1.19,26.48
08-10-22,21:20:00,1.05,26.46
08-10-22,21:30:00,1.22,26.44
08-10-22,21:40:00,1.1,26.44
08-10-22,21:50:00,0.9,26.42
08-10-22,22:00:00,0.99,26.4
08-10-22,22:10:00,0.75,26.4
08-10-22,22:20:00,0.79,26.38
08-10-22,22:30:00,0.77,26.38
08-10-22,22:40:00,0.99,26.36
08-10-22,22:50:00,0.65,26.36
08-10-22,23:00:00,0.6,26.34
08-10-22,23:10:00,0.46,26.34
08-10-22,23:20:00,0.46,26.32
08-10-22,23:30:00,0.71,26.3
08-10-22,23:40:00,0.7,26.3
08-10-22,23:50:00,0.64,26.28
09-10-22,0:00:00,0.55,26.28
09-10-22,0:10:00,0.58,26.26
09-10-22,0:20:00,0.47,26.26
09-10-22,0:30:00,0.37,26.24
09-10-22,0:40:00,0.24,26.24
09-10-22,0:50:00,0.35,26.22
09-10-22,1:00:00,0.25,26.2
09-10-22,1:10:00,0.4,26.18
09-10-22,1:20:00,0.18,26.16
09-10-22,1:30:00,0.6,26.16
09-10-22,1:40:00,0.45,26.14
09-10-22,1:50:00,0.44,26.14
09-10-22,2:00:00,0.38,26.12
09-10-22,2:10:00,0.43,26.1
09-10-22,2:20:00,0.33,26.08
09-10-22,2:30:00,0.41,26.06
09-10-22,2:40:00,0.27,26.06
09-10-22,2:50:00,0.42,26.04
09-10-22,3:00:00,0.56,26.02
09-10-22,3:10:00,0.52,26.02
09-10-22,3:20:00,0.43,26
09-10-22,3:30:00,0.36,26
09-10-22,3:40:00,0.33,25.98
09-10-22,3:50:00,0.36,25.96
09-10-22,4:00:00,0.46,25.96
09-10-22,4:10:00,0.29,25.94
09-10-22,4:20:00,0.3,25.92
09-10-22,4:30:00,0.37,25.92
09-10-22,4:40:00,0.46,25.9
09-10-22,4:50:00,0.32,25.9
09-10-22,5:00:00,0.32,25.88
09-10-22,5:10:00,0.51,25.88
09-10-22,5:20:00,0.51,25.86
09-10-22,5:30:00,0.49,25.86
09-10-22,5:40:00,0.37,25.84
09-10-22,5:50:00,0.44,25.82
09-10-22,6:00:00,0.44,25.82
09-10-22,6:10:00,0.32,25.8
09-10-22,6:20:00,0.45,25.8
09-10-22,6:30:00,0.42,25.78
09-10-22,6:40:00,0.36,25.76
09-10-22,6:50:00,0.23,25.76
09-10-22,7:00:00,0.24,25.74
09-10-22,7:10:00,0.16,25.74
09-10-22,7:20:00,0.16,25.72
09-10-22,7:30:00,0.14,25.72
09-10-22,7:40:00,0.19,25.72
09-10-22,7:50:00,0.14,25.72
09-10-22,8:00:00,0.18,25.72
09-10-22,8:10:00,0.15,25.74
09-10-22,8:20:00,0.04,25.76
09-10-22,8:30:00,0.1,25.76
09-10-22,8:40:00,0.27,25.76
09-10-22,8:50:00,0.27,25.76
09-10-22,9:00:00,0.18,25.78
09-10-22,9:10:00,0.4,25.78
09-10-22,9:20:00,0.44,25.78
09-10-22,9:30:00,0.29,25.8
09-10-22,9:40:00,0.49,25.82
09-10-22,9:50:00,0.65,25.88
09-10-22,10:00:00,0.59,25.9
09-10-22,10:10:00,0.73,25.96
09-10-22,10:20:00,0.82,26
09-10-22,10:30:00,1.01,26
09-10-22,10:40:00,1.23,26.02
09-10-22,10:50:00,1.38,26.04
09-10-22,11:00:00,1.31,26.06
09-10-22,11:10:00,1.32,26.08
09-10-22,11:20:00,1.51,26.12
09-10-22,11:30:00,1.58,26.12
09-10-22,11:40:00,1.88,26.16
09-10-22,11:50:00,2.29,26.16
09-10-22,12:00:00,2.15,26.18
09-10-22,12:10:00,2.04,26.18
09-10-22,12:20:00,2.12,26.2
09-10-22,12:30:00,2.19,26.22
09-10-22,12:40:00,1.86,26.24
09-10-22,12:50:00,2.37,26.26
09-10-22,13:00:00,2.21,26.28
09-10-22,13:10:00,2.53,26.32
09-10-22,13:20:00,2.63,26.36
09-10-22,13:30:00,2.5,26.38
09-10-22,13:40:00,2.66,26.4
09-10-22,13:50:00,2.89,26.4
09-10-22,14:00:00,2.99,26.42
09-10-22,14:10:00,2.81,26.46
09-10-22,14:20:00,2.47,26.46
09-10-22,14:30:00,2.32,26.46
09-10-22,14:40:00,2.44,26.44
09-10-22,14:50:00,1.92,26.46
09-10-22,15:00:00,2.27,26.48
09-10-22,15:10:00,2.41,26.48
09-10-22,15:20:00,2.15,26.52
09-10-22,15:30:00,2.53,26.52
09-10-22,15:40:00,2.32,26.54
09-10-22,15:50:00,2.41,26.56
09-10-22,16:00:00,2.01,26.56
09-10-22,16:10:00,1.81,26.58
09-10-22,16:20:00,2.11,26.6
09-10-22,16:30:00,2.09,26.64
09-10-22,16:40:00,2.5,26.64
09-10-22,16:50:00,1.97,26.66
09-10-22,17:00:00,2.16,26.66
09-10-22,17:10:00,1.97,26.66
09-10-22,17:20:00,1.68,26.68
09-10-22,17:30:00,1.66,26.7
09-10-22,17:40:00,1.58,26.68
09-10-22,17:50:00,1.54,26.72
09-10-22,18:00:00,1.74,26.7
09-10-22,18:10:00,1.91,26.7
09-10-22,18:20:00,1.42,26.7
09-10-22,18:30:00,1.6,26.7
09-10-22,18:40:00,1.56,26.7
09-10-22,18:50:00,1.59,26.7
09-10-22,19:00:00,1.55,26.72
09-10-22,19:10:00,1.38,26.72
09-10-22,19:20:00,0.96,26.72
09-10-22,19:30:00,1.08,26.72
09-10-22,19:40:00,1.13,26.72
09-10-22,19:50:00,1.08,26.7
09-10-22,20:00:00,0.96,26.7
09-10-22,20:10:00,1.07,26.7
09-10-22,20:20:00,0.92,26.68
09-10-22,20:30:00,1.02,26.68
09-10-22,20:40:00,0.97,26.68
09-10-22,20:50:00,0.94,26.66
09-10-22,21:00:00,0.82,26.66
09-10-22,21:10:00,0.79,26.64
09-10-22,21:20:00,0.69,26.62
09-10-22,21:30:00,0.94,26.62
09-10-22,21:40:00,0.7,26.62
09-10-22,21:50:00,0.78,26.6
09-10-22,22:00:00,0.62,26.58
09-10-22,22:10:00,0.78,26.58
09-10-22,22:20:00,0.73,26.56
09-10-22,22:30:00,0.77,26.54
09-10-22,22:40:00,0.62,26.52
09-10-22,22:50:00,0.51,26.5
09-10-22,23:00:00,0.58,26.5
09-10-22,23:10:00,0.53,26.48
09-10-22,23:20:00,0.68,26.46
09-10-22,23:30:00,0.54,26.44
09-10-22,23:40:00,0.44,26.42
09-10-22,23:50:00,0.75,26.38
10-10-22,0:00:00,0.6,26.36
10-10-22,0:10:00,0.59,26.36
10-10-22,0:20:00,0.75,26.36
10-10-22,0:30:00,0.64,26.34
10-10-22,0:40:00,0.71,26.32
10-10-22,0:50:00,0.65,26.3
10-10-22,1:00:00,0.55,26.28
10-10-22,1:10:00,0.62,26.28
10-10-22,1:20:00,0.47,26.26
10-10-22,1:30:00,0.57,26.24
10-10-22,1:40:00,0.47,26.22
10-10-22,1:50:00,0.66,26.22
10-10-22,2:00:00,0.6,26.2
10-10-22,2:10:00,0.53,26.18
10-10-22,2:20:00,0.43,26.16
10-10-22,2:30:00,0.45,26.14
10-10-22,2:40:00,0.38,26.12
10-10-22,2:50:00,0.3,26.12
10-10-22,3:00:00,0.57,26.1
10-10-22,3:10:00,0.67,26.08
10-10-22,3:20:00,0.54,26.06
10-10-22,3:30:00,0.65,26.04
10-10-22,3:40:00,0.64,26.02
10-10-22,3:50:00,0.58,26.02
10-10-22,4:00:00,0.56,26
10-10-22,4:10:00,0.64,25.98
10-10-22,4:20:00,0.65,25.96
10-10-22,4:30:00,0.56,25.96
10-10-22,4:40:00,0.55,25.94
10-10-22,4:50:00,0.53,25.92
10-10-22,5:00:00,0.66,25.9
10-10-22,5:10:00,0.54,25.9
10-10-22,5:20:00,0.6,25.88
10-10-22,5:30:00,0.6,25.88
10-10-22,5:40:00,0.63,25.86
10-10-22,5:50:00,0.41,25.84
10-10-22,6:00:00,0.52,25.84
10-10-22,6:10:00,0.31,25.82
10-10-22,6:20:00,0.44,25.8
10-10-22,6:30:00,0.65,25.8
10-10-22,6:40:00,0.4,25.78
10-10-22,6:50:00,0.37,25.78
10-10-22,7:00:00,0.45,25.76
10-10-22,7:10:00,0.53,25.76
10-10-22,7:20:00,0.59,25.74
10-10-22,7:30:00,0.53,25.76
10-10-22,7:40:00,0.42,25.76
10-10-22,7:50:00,0.56,25.74
10-10-22,8:00:00,0.51,25.74
10-10-22,8:10:00,0.45,25.74
10-10-22,8:20:00,0.33,25.74
10-10-22,8:30:00,0.41,25.72
10-10-22,8:40:00,0.38,25.72
10-10-22,8:50:00,0.71,25.74
10-10-22,9:00:00,0.75,25.78
10-10-22,9:10:00,0.27,25.82
10-10-22,9:20:00,0.38,25.84
10-10-22,9:30:00,0.69,25.92
10-10-22,9:40:00,0.47,25.96
10-10-22,9:50:00,0.43,26.04
10-10-22,10:00:00,0.52,26.1
10-10-22,10:10:00,0.75,26.16
10-10-22,10:20:00,0.98,26.22
10-10-22,10:30:00,0.94,26.28
10-10-22,10:40:00,0.99,26.36
10-10-22,10:50:00,1.15,26.44
10-10-22,11:00:00,1.23,26.48
10-10-22,11:10:00,1.3,26.54
10-10-22,11:20:00,1.29,26.56
10-10-22,11:30:00,1.37,26.56
10-10-22,11:40:00,1.37,26.6
10-10-22,11:50:00,1.82,26.68
10-10-22,12:00:00,1.66,26.7
10-10-22,12:10:00,1.78,26.7
10-10-22,12:20:00,1.78,26.74
10-10-22,12:30:00,1.62,26.76
10-10-22,12:40:00,1.99,26.78
10-10-22,12:50:00,1.54,26.8
10-10-22,13:00:00,2.15,26.84
10-10-22,13:10:00,2.21,26.88
10-10-22,13:20:00,2.33,26.9
10-10-22,13:30:00,2.16,26.96
10-10-22,13:40:00,2.37,27
10-10-22,13:50:00,2.34,27
10-10-22,14:00:00,2.56,27
10-10-22,14:10:00,2.43,27.04
10-10-22,14:20:00,2.36,27.06
10-10-22,14:30:00,2.43,27.04
10-10-22,14:40:00,2.07,27.04
10-10-22,14:50:00,2.23,27.06
10-10-22,15:00:00,1.63,27.04
10-10-22,15:10:00,1.75,27.06
10-10-22,15:20:00,1.7,27.06
10-10-22,15:30:00,1.72,27.1
10-10-22,15:40:00,1.78,27.12
10-10-22,15:50:00,1.72,27.16
10-10-22,16:00:00,1.66,27.14
10-10-22,16:10:00,1.96,27.18
10-10-22,16:20:00,1.69,27.16
10-10-22,16:30:00,1.63,27.16
10-10-22,16:40:00,1.94,27.2
10-10-22,16:50:00,1.82,27.18
10-10-22,17:00:00,1.79,27.22
10-10-22,17:10:00,1.66,27.18
10-10-22,17:20:00,1.49,27.22
10-10-22,17:30:00,1.11,27.22
10-10-22,17:40:00,1.45,27.22
10-10-22,17:50:00,1.25,27.22
10-10-22,18:00:00,1.38,27.22
10-10-22,18:10:00,1.51,27.22
10-10-22,18:20:00,1.55,27.24
10-10-22,18:30:00,1.38,27.22
10-10-22,18:40:00,1.59,27.22
10-10-22,18:50:00,1.64,27.24
10-10-22,19:00:00,1.66,27.24
10-10-22,19:10:00,1.45,27.22
10-10-22,19:20:00,1.33,27.22
10-10-22,19:30:00,1.54,27.22
10-10-22,19:40:00,1.26,27.22
10-10-22,19:50:00,1.41,27.24
10-10-22,20:00:00,1.36,27.24
10-10-22,20:10:00,1.18,27.22
10-10-22,20:20:00,1.05,27.22
10-10-22,20:30:00,0.83,27.2
10-10-22,20:40:00,1.07,27.2
10-10-22,20:50:00,1.13,27.2
10-10-22,21:00:00,0.97,27.18
10-10-22,21:10:00,0.79,27.18
10-10-22,21:20:00,1.11,27.16
10-10-22,21:30:00,0.81,27.16
10-10-22,21:40:00,1.14,27.14
10-10-22,21:50:00,1.01,27.14
10-10-22,22:00:00,1.03,27.12
10-10-22,22:10:00,0.98,27.12
10-10-22,22:20:00,1.05,27.1
10-10-22,22:30:00,1.02,27.1
10-10-22,22:40:00,0.88,27.08
10-10-22,22:50:00,1.04,27.08
10-10-22,23:00:00,0.89,27.06
10-10-22,23:10:00,1.24,27.04
10-10-22,23:20:00,1.03,27.04
10-10-22,23:30:00,1.01,27.04
10-10-22,23:40:00,0.93,27.02
10-10-22,23:50:00,1.13,27
11-10-22,0:00:00,0.94,27
11-10-22,0:10:00,1.01,26.98
11-10-22,0:20:00,0.79,26.98
11-10-22,0:30:00,0.88,26.96
11-10-22,0:40:00,0.76,26.94
11-10-22,0:50:00,0.97,26.94
11-10-22,1:00:00,0.89,26.92
11-10-22,1:10:00,0.77,26.9
11-10-22,1:20:00,0.56,26.88
11-10-22,1:30:00,0.87,26.88
11-10-22,1:40:00,0.75,26.86
11-10-22,1:50:00,0.63,26.84
11-10-22,2:00:00,0.6,26.84
11-10-22,2:10:00,0.43,26.82
11-10-22,2:20:00,0.67,26.8
11-10-22,2:30:00,0.51,26.78
11-10-22,2:40:00,0.57,26.76
11-10-22,2:50:00,0.49,26.76
11-10-22,3:00:00,0.55,26.74
11-10-22,3:10:00,0.62,26.72
11-10-22,3:20:00,0.62,26.7
11-10-22,3:30:00,0.79,26.68
11-10-22,3:40:00,0.81,26.66
11-10-22,3:50:00,0.79,26.64
11-10-22,4:00:00,0.6,26.62
11-10-22,4:10:00,0.76,26.62
11-10-22,4:20:00,0.71,26.6
11-10-22,4:30:00,0.82,26.58
11-10-22,4:40:00,0.82,26.58
11-10-22,4:50:00,0.83,26.56
11-10-22,5:00:00,0.73,26.54
11-10-22,5:10:00,0.71,26.5
11-10-22,5:20:00,0.8,26.5
11-10-22,5:30:00,0.58,26.5
11-10-22,5:40:00,0.68,26.48
11-10-22,5:50:00,0.7,26.46
11-10-22,6:00:00,0.65,26.46
11-10-22,6:10:00,0.6,26.44
11-10-22,6:20:00,0.79,26.44
